"No","itemId","itemName","nameJP","nameTrans","itemType","itemSubtype","buttonType","dataType","required","format","minLength","maxLength","defaultValue","validationNote","description","userAction","transitionNote","databaseTable","databaseColumn","databaseNote","qa"
"A","I520:11647;520:9870","mms_A_Gửi lời cám ơn và ghi nhận đến đồng đội","Gửi lời cám ơn và ghi nhận đến đồng đội","Tiêu đề modal gửi lời cảm ơn","label","","","","false","","","","","","Mục đích và Ngữ cảnh: Tiêu đề của modal gửi lời cảm ơn; hiển thị ở đầu form để người dùng biết mục đích thao tác.
Thành phần Hiển thị: Văn bản 'Gửi lời cám ơn và ghi nhận đến đồng đội'; kiểu chữ lớn; căn giữa; nằm ở đầu modal.
Chức năng & Logic: Chỉ hiển thị tĩnh; không tương tác.","","","","","",""
"B","I520:11647;520:9871","mms_B_Chọn người nhận","Recipient Selector","Chọn người nhận Kudo","others","form_field","","","true","","","","","","Mục đích và Ngữ cảnh: Section bắt buộc để chọn người nhận Kudo; form không thể submit nếu chưa chọn.
Thành phần Hiển thị: Nhãn 'Người nhận*' (in đậm; bên trái) + ô tìm kiếm với placeholder 'Tìm kiếm' và icon dropdown (bên phải; flex-grow).
Chức năng & Logic: Click ô tìm kiếm mở dropdown autocomplete Sunner; gõ để lọc; click mục để điền tên; bắt buộc có giá trị hợp lệ trước khi gửi.","","","","","","- Dropdown hiển thị tất cả Sunner hay chỉ những người cùng team?
- Có thể chọn nhiều người nhận hay chỉ một?
- Khi người nhận đã chọn rồi; UI thể hiện tên/avatar như thế nào?"
"B.1","I520:11647;520:9872","mms_B.1_Title","Title","Nhãn 'Người nhận'","label","","","","false","","","","","","Mục đích và Ngữ cảnh: Nhãn định danh trường 'Người nhận' kèm dấu * báo bắt buộc.
Thành phần Hiển thị: Văn bản 'Người nhận' và dấu '*' màu đỏ; kiểu in đậm.
Chức năng & Logic: Chỉ hiển thị; không tương tác.","","","","","",""
"B.2","I520:11647;520:9873","mms_B.2_Search","search","Trường tìm kiếm người nhận","text_form","","","string","true","none","1","","","Condition: Để trống
Error: ""Vui lòng chọn người nhận""","Mục đích và Ngữ cảnh: Ô tìm và chọn người nhận Kudo bắt buộc trong form.
Thành phần Hiển thị: Text field với placeholder 'Tìm kiếm'; icon dropdown bên phải; viền trắng.
Chức năng & Logic: Autocomplete lọc kết quả theo ký tự nhập; click mục để điền tên người nhận; khi rỗng hiển thị viền đỏ và thông báo lỗi.","on_click","Mở dropdown autocomplete danh sách Sunner","","","","- Format nào dùng để validate người nhận hợp lệ (ID hay email)?
- Có hiển thị avatar bên cạnh tên không?"
"C","I520:11647;520:9877","mms_C_Chức năng","Chức năng","Thanh công cụ định dạng","text_form","","","string","true","none","","","","","Mục đích và Ngữ cảnh: Container thanh công cụ định dạng văn bản cho ô soạn thảo lời cảm ơn.
Thành phần Hiển thị: Dãy nút B; I; S; số thứ tự; link; quote và link 'Tiêu chuẩn cộng đồng' bên phải.
Chức năng & Logic: Cung cấp các tùy chọn định dạng cho nội dung trong textarea; mỗi nút bật/tắt định dạng tương ứng.","","","","","",""
"C.1","I520:11647;520:9881","mms_C.1_bold","bold","Nút in đậm","button","","toggle","","false","","","","","","Mục đích và Ngữ cảnh: Nút toggle in đậm trong thanh công cụ soạn thảo.
Thành phần Hiển thị: Nút 'B' (Bold).
Chức năng & Logic: Click bật/tắt định dạng in đậm cho văn bản đang chọn hoặc nội dung sắp nhập.","on_click","Bật/tắt định dạng in đậm cho văn bản được chọn","","","",""
"C.2","I520:11647;662:11119","mms_C.2_italic","italic","Nút in nghiêng","button","","icon_text","","false","","","","","","Mục đích và Ngữ cảnh: Nút toggle in nghiêng trong thanh công cụ soạn thảo.
Thành phần Hiển thị: Nút 'I' (Italic).
Chức năng & Logic: Click bật/tắt định dạng in nghiêng cho văn bản đang chọn.","on_click","Bật/tắt định dạng in nghiêng cho văn bản được chọn","","","",""
"C.3","I520:11647;662:11213","mms_C.3_Stroke","Stroke","Nút gạch ngang","others","decorative","","","false","","","","","","Mục đích và Ngữ cảnh: Nút toggle gạch ngang trong thanh công cụ soạn thảo.
Thành phần Hiển thị: Nút 'S' (Strikethrough).
Chức năng & Logic: Click bật/tắt định dạng gạch ngang cho văn bản đang chọn.","on_click","Bật/tắt định dạng gạch ngang cho văn bản được chọn","","","",""
"C.4","I520:11647;662:10376","mms_C.4_number","number","Nút danh sách có số","button","","icon_text","","false","","","","","","Mục đích và Ngữ cảnh: Nút bật/tắt danh sách có số thứ tự trong thanh công cụ soạn thảo.
Thành phần Hiển thị: Icon danh sách số.
Chức năng & Logic: Click áp dụng/loại bỏ định dạng ordered list cho đoạn hiện tại.","on_click","Bật/tắt định dạng danh sách có số cho đoạn văn","","","",""
"C.5","I520:11647;662:10507","mms_C.5_link","link","Nút chèn liên kết","button","","icon_text","","false","","","","","","Mục đích và Ngữ cảnh: Nút chèn/chỉnh sửa hyperlink trong thanh công cụ soạn thảo.
Thành phần Hiển thị: Icon link/chain.
Chức năng & Logic: Click mở hộp thoại nhập URL; sau khi xác nhận chèn liên kết vào vùng văn bản.","on_click","Mở hộp thoại nhập URL để chèn liên kết","","","","- Hộp thoại link có tùy chọn 'mở trong tab mới' không?
- Có validate định dạng URL không?"
"C.6","I520:11647;662:10647","mms_C.6_quote","quote","Nút trích dẫn","button","","icon_text","","false","","","","","","Mục đích và Ngữ cảnh: Nút chèn blockquote trong thanh công cụ soạn thảo.
Thành phần Hiển thị: Icon quote (dấu ngoặc kép đôi).
Chức năng & Logic: Click bật/tắt định dạng trích dẫn (blockquote) cho đoạn văn đang chọn.","on_click","Bật/tắt định dạng blockquote cho đoạn văn","","","",""
"D","I520:11647;520:9886","mms_D_text filed","text filed","Textarea lời cảm ơn","text_form","","","string","true","none","","1000","","Condition: Để trống
Error: ""Vui lòng nhập nội dung lời cảm ơn""","Mục đích và Ngữ cảnh: Ô soạn thảo chính để nhập lời cảm ơn/ghi nhận; trường bắt buộc.
Thành phần Hiển thị: Toolbar định dạng ở trên; textarea với placeholder 'Hãy gửi gắm lời cám ơn và ghi nhận đến đồng đội tại đây nhé!'; link 'Tiêu chuẩn cộng đồng' bên phải toolbar.
Chức năng & Logic: Nhập nội dung lời cảm ơn có hỗ trợ rich text; gõ '@' + tên để nhắc đồng nghiệp; bắt buộc không được để trống.","","","","","","- Có giới hạn số ký tự tối đa không? Có hiển thị bộ đếm không?
- Khi gõ '@' có hiển thị gợi ý tên người không?"
"D.1","I520:11647;520:9887","mms_D.1_Gợi ý","Gợi ý và bộ đếm ký tự","Hint text and character counter","label","","","","false","","","","","","Mục đích và Ngữ cảnh: Văn bản gợi ý hiển thị bên dưới textarea để hướng dẫn người dùng.
Thành phần Hiển thị: Text nhỏ 'Bạn có thể ""@ + tên"" để nhắc tới đồng nghiệp khác'.
Chức năng & Logic: Luôn hiển thị bên dưới textarea; không tương tác.","","","","","",""
"E","I520:11647;520:9890","mms_E_Frame 536","Frame 536","Trường Hashtag","text_form","","","string","true","none","","","","Condition: Không có hashtag nào
Error: ""Vui lòng thêm ít nhất 1 hashtag""
Condition: Thêm quá 5 hashtag
Error: ""Tối đa 5 hashtag""","Mục đích và Ngữ cảnh: Section bắt buộc để thêm hashtag cho bài Kudo; tối thiểu 1; tối đa 5.
Thành phần Hiển thị: Nhãn 'Hashtag*'; nút '+ Hashtag'; ghi chú 'Tối đa 5'; các chip hashtag đã thêm kèm nút xóa.
Chức năng & Logic: Click '+ Hashtag' mở dropdown thêm hashtag; click 'x' trên chip để xóa; validate tối thiểu 1 và tối đa 5.","","","","","","- Dropdown hashtag lấy dữ liệu từ danh sách cố định hay người dùng có thể tự nhập?
- Hashtag có cho phép ký tự đặc biệt không?"
"E.1","I520:11647;520:9891","mms_E.1_Title","Title","Nhãn 'Hashtag'","label","","","","false","","","","","","Mục đích và Ngữ cảnh: Nhãn định danh trường 'Hashtag' kèm dấu * báo bắt buộc.
Thành phần Hiển thị: Văn bản 'Hashtag' và dấu '*'.
Chức năng & Logic: Chỉ hiển thị; không tương tác.","","","","","",""
"E.2","I520:11647;662:8595","mms_E.2_Tag Group","Tag Group","Nhóm Hashtag","others","tag_group","","string","true","none","","","","Condition: Chưa chọn hashtag nào
Error: ""Vui lòng thêm ít nhất 1 hashtag""","Mục đích và Ngữ cảnh: Vùng hiển thị và quản lý các hashtag đã chọn trong form Kudo.
Thành phần Hiển thị: Nút '+ Hashtag'; các chip hashtag đã thêm kèm nút 'x'; ghi chú 'Tối đa 5'.
Chức năng & Logic: Click '+ Hashtag' mở dropdown; click chip 'x' xóa hashtag; ẩn nút thêm khi đã đủ 5.","on_click","Mở dropdown chọn hashtag","","","","- Có hiển thị số lượng hashtag hiện tại/tổng tối đa không?"
"F","I520:11647;520:9896","mms_F_Frame 537","Frame 537","Khung tải ảnh","others","image_upload","","","false","","","","","Condition: Thêm quá 5 ảnh
Error: Ẩn nút '+ Image' khi đã đủ 5 ảnh","Mục đích và Ngữ cảnh: Section tùy chọn để đính kèm ảnh cho bài Kudo; tối đa 5 ảnh.
Thành phần Hiển thị: Nhãn 'Image'; dãy thumbnail ảnh kèm nút 'x'; nút '+ Image' và ghi chú 'Tối đa 5'.
Chức năng & Logic: Click '+ Image' mở file picker; click 'x' trên thumbnail xóa ảnh; ẩn nút thêm khi đủ 5; không bắt buộc.","","","","","","- Định dạng ảnh được chấp nhận (JPG; PNG; WEBP...)?
- Giới hạn dung lượng mỗi ảnh là bao nhiêu?"
"F.1","I520:11647;520:9897","mms_F.1_Title","Title","Nhãn 'Image'","label","","","","false","","","","","","Mục đích và Ngữ cảnh: Nhãn định danh section đính kèm ảnh.
Thành phần Hiển thị: Văn bản 'Image'.
Chức năng & Logic: Chỉ hiển thị; không tương tác.","","","","","",""
"F.2","I520:11647;662:9197","mms_F.2_Image","Image","Hình thu nhỏ ảnh","others","image_thumbnail","","","false","","","","","","Mục đích và Ngữ cảnh: Thumbnail ảnh đính kèm thứ nhất trong dãy ảnh của form Kudo.
Thành phần Hiển thị: Ảnh thu nhỏ kèm nút 'x' ở góc để xóa.
Chức năng & Logic: Click 'x' xóa ảnh này khỏi danh sách đính kèm.","on_click","Click 'x' xóa ảnh khỏi danh sách","","","",""
"F.3","I520:11647;662:9393","mms_F.3_Image","Image","Ảnh thumbnail thứ hai","others","image_item","","","false","","","","","","Mục đích và Ngữ cảnh: Thumbnail ảnh đính kèm thứ hai trong dãy ảnh của form Kudo.
Thành phần Hiển thị: Ảnh thu nhỏ kèm nút 'x' ở góc để xóa.
Chức năng & Logic: Click 'x' xóa ảnh này khỏi danh sách đính kèm.","on_click","Click 'x' xóa ảnh khỏi danh sách","","","",""
"F.4","I520:11647;662:9439","mms_F.4_Image","Image","Ảnh thumbnail thứ ba","others","image_thumbnail","","","false","","","","","","Mục đích và Ngữ cảnh: Thumbnail ảnh đính kèm thứ ba trong dãy ảnh của form Kudo.
Thành phần Hiển thị: Ảnh thu nhỏ kèm nút 'x' ở góc để xóa.
Chức năng & Logic: Click 'x' xóa ảnh này khỏi danh sách đính kèm.","on_click","Click 'x' xóa ảnh khỏi danh sách","","","",""
"F.5","I520:11647;662:9132","mms_F.5_Frame 542","Frame 542","Nút thêm ảnh","button","","icon_text","","false","","","","","","Mục đích và Ngữ cảnh: Nút cho phép người dùng thêm ảnh đính kèm vào bài Kudo.
Thành phần Hiển thị: Icon '+'; nhãn 'Image'; ghi chú nhỏ 'Tối đa 5'.
Chức năng & Logic: Click mở file picker; sau khi chọn ảnh hiển thị thumbnail; ẩn khi đã có 5 ảnh.","on_click","Mở file picker để chọn ảnh; sau khi chọn hiển thị thumbnail","","","","- Có hỗ trợ chọn nhiều ảnh cùng lúc từ file picker không?"
